ROUGE_type,100_r,100_p,100_f

S
R1,0.3881,0.3864,0.38719
R2,0.09647,0.09598,0.09622
R3,0.03205,0.03187,0.03196
R4,0.01281,0.01274,0.01277
RSU,0.14112,0.14044,0.14076
RL,0.34993,0.34846,0.34915
RW,0.12277,0.2178,0.15698
RS,0.09097,0.0905,0.09072


